state,legal_framework,collection_triggers,collection_trigger_category,data_limitations,data_limitation_category,source_url
Alaska,AK Stat § 44.41.035 (2014),All felony and sex crime misdemeanor convictions; arrests for all felonies and crimes against a person,Comprehensive: All felonies + broad arrests,No specific conviction data; Racial makeup estimated from current prison population; Sex crime convictions not specified,Other limitations,https://www.bjs.gov/content/pub/pdf/p14.pdf; https://www.prisonpolicy.org/profiles/AK.html; https://dps.alaska.gov/getmedia/5f0157ad-3f97-4798-8198-89de9ead6e2c/Supplemental-Crime-in-Alaska-Report; https://dps.alaska.gov/getmedia/fd4b27c3-7660-4527-9d88-fcbaf6438cf0/2015-CIAK-Revised-02-08-2017
Arizona,AZ Rev Stat §13-610 (2016),All felony and sex crime misdemeanor convictions; arrests for certain dangerous/serious offenses and misdemeanors,Selective: All felonies + specific arrests,Prison admissions used as proxy for convictions; Hispanic/Latino counting uncertain due to separate ethnicity categorization,Prison data as proxy,https://corrections.az.gov/sites/default/files/REPORTS/Inmate_Population/inmate_population_fact_sheet_as_of_06-30-2015.pdf; https://www.prisonpolicy.org/profiles/AZ.html; https://www.azdps.gov/sites/default/files/media/Crime_In_Arizona_Report_2014.pdf
Arkansas,AR Code §12-12-1109 & §12-12-1006,"All felony and sex crime misdemeanor convictions; arrests for capital murder, first degree murder, kidnapping, rape, and sexual assault",Broad: All felonies + various arrests,No specific sexual misdemeanor conviction data; Hispanic not included in racial categories,Ethnicity categorization issues,https://adc.arkansas.gov/images/uploads/Statistical_Information_2015_rev1.pdf; https://www.acic.org/Websites/acic/images/pdfs/2015_RaceSexPersonsArrested_State.pdf
California,CA Penal Code §296,All felony and sex crime misdemeanor convictions; any felony arrest,Felony convictions only,"No sex crime misdemeanor conviction data; Asian population data missing despite large state presence; 6% of arrestees categorized as ""Other""",Other limitations,NA
Colorado,CO Rev Stat §16-23-103 (2016),All felony and sex crime misdemeanor convictions; any felony arrest,Felony convictions only,No sex crime misdemeanor conviction data; Prison admissions used as proxy,Prison data as proxy,https://drive.google.com/file/d/0B21TrpBx507cczBTWVduZFRXYzQ/view; http://cdpsdocs.state.co.us/ors/docs/reports/2016-SB15-185-Rpt.pdf
Connecticut,CT Gen Stat §54-102g (2012),All felony and sex crime misdemeanor convictions; arrests for serious felonies with prior convictions,Broad: All felonies + various arrests,No data on arrests for prior convicts; Prison admissions proxy used,Prison data as proxy,https://www.bjs.gov/content/pub/pdf/p14.pdf; https://www.prisonpolicy.org/profiles/CT.html
Delaware,29 DE Code §4713 (2017),All felony and sex crime misdemeanor convictions,Felony convictions only,Prison admissions proxy used; No specific sex crime misdemeanor data,Prison data as proxy,NA
Florida,FL Stat §943.325 (2016),"All felony and sex crime misdemeanor convictions; stalking, voyeurism, obscene materials, gang-related offenses; felony arrests",Broad: All felonies + various arrests,Enumerated misdemeanor data unavailable; Hispanic not separate category in arrests,Ethnicity categorization issues,http://www.dc.state.fl.us/pub/annual/1415/FDC_AR2014-15.pdf; https://www.prisonpolicy.org/profiles/FL.html; http://www.fdle.state.fl.us/FSAC/Data-Statistics/UCR-Arrest-Data.aspx
Hawaii,"HI Rev Stat §844D-31, 39 (2011)",Felony and sex crime misdemeanor convictions,Mixed: Felony + misdemeanor convictions,"13.9% remain in ""Others"" category; Sex crime misdemeanor data unavailable",Various data unavailable,https://dps.hawaii.gov/wp-content/uploads/2016/12/PSD-ANNUAL-REPORT-2015.pdf; http://www.justicepolicy.org/uploads/justicepolicy/documents/10-09_rep_disparatetreatmentofnativehawaiians_rd-ac.pdf; https://www.prisonpolicy.org/profiles/HI.html
Idaho,ID Code §19-5506 (2016),All felony convictions,Felony convictions only,No actual felony conviction data,Other limitations,https://www.idoc.idaho.gov/content/document/annual_report_fy14_0; https://www.prisonpolicy.org/profiles/ID.html
Illinois,730 ILCS §5/5-4-3 (2013),All felony and sex crime misdemeanor convictions; specific violent crime arrests (with automatic expungement if not convicted),Selective: All felonies + specific arrests,Prison admissions proxy used,Prison data as proxy,NA
Indiana,IN Code §10-13-6-10 (2017),All felony convictions,Felony convictions only,Prison admissions proxy used,Prison data as proxy,NA
Iowa,IA Code §81.2 (2016),"All felony, sex crime misdemeanor, and aggravated misdemeanor convictions",Felony convictions only,None noted (comprehensive data available),Various data unavailable,NA
Kansas,KS Stat §21-2511 (2013),All felony and sex crime misdemeanor convictions; felony and misdemeanor arrests,Broad: All felonies + various arrests,Shawnee County used as proxy for state racial makeup; Only Black/White categories available,Other limitations,https://www.doc.ks.gov/publications/Reports/2016; https://drive.google.com/file/d/1gTc4F1GYp5pTdSoEsU5UT8Br90vjiD2q/view; http://cjonline.com/news-local/2015-12-21/arrest-rates-race-show-wide-disparities-topeka-nationally
Kentucky,KY Rev Stat §17.170 (1996),All felony and sex crime misdemeanor convictions,Felony convictions only,Racial makeup estimated from prison population,Other limitations,https://justice.ky.gov/Documents/Sourcebook/Sourcebook2012Content.pdf; https://www.prisonpolicy.org/profiles/KY.html
Louisiana,LA Rev Stat § 15:609 (2011),All felony and sex crime misdemeanor convictions; specific misdemeanors; related arrests,Selective: All felonies + specific arrests,No arrest racial data available,Various data unavailable,http://www.doc.la.gov/media/1/Briefing%20Book/Jan%202017/recid.admis.rels.jan.17.pdf; https://www.prisonpolicy.org/profiles/LA.html
Maine,25 ME Rev Stat § 1574 (2017),All felony and sex crime misdemeanor convictions,Felony convictions only,Incomplete year data; No racial makeup in conviction data,Other limitations,https://cpb-us-w2.wpmucdn.com/wpsites.maine.edu/dist/2/115/files/2018/06/2014-Maine-Crime-and-Justice-Databook-1anezqt.pdf; https://www.prisonpolicy.org/profiles/ME.html
Massachusetts,MA Code Chapter 22E §3 (2006),All felony convictions,Felony convictions only,"3% categorized as ""others""",Other limitations,NA
Michigan,Mich. Comp. Laws §750.250m (2006),All felony and sex crime misdemeanor convictions; violent felony arrests,Broad: All felonies + various arrests,White/non-white division required estimation; Hispanic not included in arrest data,Ethnicity categorization issues,https://www.michigan.gov/documents/corrections/MDOC_2015_Statistical_Report_-_2016.08.23_532907_7.pdf; https://www.prisonpolicy.org/profiles/MI.html
