state,offender_type,variable_category,variable_detailed,value,value_type,date
California,Convicted Offender,total,total_profiles,2019899,count,2018-07-05
California,Arrestee,total,total_profiles,751822,count,2018-07-05
California,Convicted Offender,gender,Female,309827,count,2018-07-05
California,Convicted Offender,gender,Male,1603222,count,2018-07-05
California,Convicted Offender,gender,Unknown,106850,count,2018-07-05
California,Arrestee,gender,Female,208225,count,2018-07-05
California,Arrestee,gender,Male,524231,count,2018-07-05
California,Arrestee,gender,Unknown,19366,count,2018-07-05
California,Convicted Offender,race,African American,368952,count,2018-07-05
California,Convicted Offender,race,Caucasian,588555,count,2018-07-05
California,Convicted Offender,race,Hispanic,652121,count,2018-07-05
California,Convicted Offender,race,Asian,16384,count,2018-07-05
California,Arrestee,race,African American,104741,count,2018-07-05
California,Arrestee,race,Caucasian,231313,count,2018-07-05
California,Arrestee,race,Hispanic,308450,count,2018-07-05
California,Arrestee,race,Asian,11191,count,2018-07-05
