state,offender_type,variable_category,variable_detailed,value,value_type,date
Nevada,All,total,total_flags,344097,count,2018
Nevada,Arrestee,total,total_profiles,185074,count,2018
Nevada,Arrestee,total,total_profiles,53.785,percentage,2018
Nevada,Convicted Offender,total,total_profiles,159023,count,2018
Nevada,Convicted Offender,total,total_profiles,46.215,percentage,2018
Nevada,Combined,gender,Female,63287,count,2018
Nevada,Combined,gender,Female,18.392,percentage,2018
Nevada,Combined,gender,Male,280738,count,2018
Nevada,Combined,gender,Male,81.587,percentage,2018
Nevada,Combined,gender,Unknown,72,count,2018
Nevada,Combined,gender,Unknown,0.0209,percentage,2018
Nevada,Combined,race,White,238723,count,2018
Nevada,Combined,race,White,69.377,percentage,2018
Nevada,Combined,race,Unknown,3491,count,2018
Nevada,Combined,race,Unknown,1.015,percentage,2018
Nevada,Combined,race,American Indian,5710,count,2018
Nevada,Combined,race,American Indian,1.659,percentage,2018
Nevada,Combined,race,Black,88174,count,2018
Nevada,Combined,race,Black,25.625,percentage,2018
Nevada,Combined,race,Asian,7999,count,2018
Nevada,Combined,race,Asian,2.346,percentage,2018
