state,offender_type,variable_category,variable_detailed,value,value_type,date
South Dakota,Combined,total,total_profiles,67753,count,2018-07-18
South Dakota,Combined,gender,Male,51197,count,2018-07-18
South Dakota,Combined,gender,Male,75.56,percentage,2018-07-18
South Dakota,Combined,gender,Female,16556,count,2018-07-18
South Dakota,Combined,gender,Female,24.44,percentage,2018-07-18
South Dakota,Combined,race,Asian,5,count,2018-07-18
South Dakota,Combined,race,Asian,0.08,percentage,2018-07-18
South Dakota,Combined,race,Black,4041,count,2018-07-18
South Dakota,Combined,race,Black,5.96,percentage,2018-07-18
South Dakota,Combined,race,Hispanic,2949,count,2018-07-18
South Dakota,Combined,race,Hispanic,4.35,percentage,2018-07-18
South Dakota,Combined,race,Native American,14593,count,2018-07-18
South Dakota,Combined,race,Native American,21.54,percentage,2018-07-18
South Dakota,Combined,race,Other/Unknown,891,count,2018-07-18
South Dakota,Combined,race,Other/Unknown,1.32,percentage,2018-07-18
South Dakota,Combined,race,White/Caucasian,45223,count,2018-07-18
South Dakota,Combined,race,White/Caucasian,66.75,percentage,2018-07-18
South Dakota,Combined,gender_race,Male_Asian,5,count,2018-07-18
South Dakota,Combined,gender_race,Male_Asian,0.1,percentage,2018-07-18
South Dakota,Combined,gender_race,Female_Asian,5,count,2018-07-18
South Dakota,Combined,gender_race,Female_Asian,0.03,percentage,2018-07-18
South Dakota,Combined,gender_race,Male_Black,3445,count,2018-07-18
South Dakota,Combined,gender_race,Male_Black,6.73,percentage,2018-07-18
South Dakota,Combined,gender_race,Female_Black,596,count,2018-07-18
South Dakota,Combined,gender_race,Female_Black,3.6,percentage,2018-07-18
South Dakota,Combined,gender_race,Male_Hispanic,2560,count,2018-07-18
South Dakota,Combined,gender_race,Male_Hispanic,5,percentage,2018-07-18
South Dakota,Combined,gender_race,Female_Hispanic,389,count,2018-07-18
South Dakota,Combined,gender_race,Female_Hispanic,2.35,percentage,2018-07-18
South Dakota,Combined,gender_race,Male_Native American,9699,count,2018-07-18
South Dakota,Combined,gender_race,Male_Native American,18.94,percentage,2018-07-18
South Dakota,Combined,gender_race,Female_Native American,4894,count,2018-07-18
South Dakota,Combined,gender_race,Female_Native American,29.56,percentage,2018-07-18
South Dakota,Combined,gender_race,Male_Other/Unknown,719,count,2018-07-18
South Dakota,Combined,gender_race,Male_Other/Unknown,1.4,percentage,2018-07-18
South Dakota,Combined,gender_race,Female_Other/Unknown,172,count,2018-07-18
South Dakota,Combined,gender_race,Female_Other/Unknown,1.04,percentage,2018-07-18
South Dakota,Combined,gender_race,Male_White/Caucasian,34723,count,2018-07-18
South Dakota,Combined,gender_race,Male_White/Caucasian,67.82,percentage,2018-07-18
South Dakota,Combined,gender_race,Female_White/Caucasian,10500,count,2018-07-18
South Dakota,Combined,gender_race,Female_White/Caucasian,63.42,percentage,2018-07-18
