jurisdiction,metric,delta,flag_type,correction_status
Alabama,forensic_profiles,-14,Monotonicity Violation,Unreviewed
Alabama,offender_profiles,-10,Monotonicity Violation,Unreviewed
Alabama,offender_profiles,-7591,Monotonicity Violation,Unreviewed
Alabama,forensic_profiles,-115,Monotonicity Violation,Unreviewed
Alabama,total_profiles,-7706,Monotonicity Violation,Unreviewed
Alabama,total_profiles,7660,Spike Detection,Unreviewed
Alabama,offender_profiles,7630,Spike Detection,Unreviewed
Alabama,offender_profiles,-7630,Monotonicity Violation,Unreviewed
Alabama,forensic_profiles,-30,Monotonicity Violation,Unreviewed
Alabama,total_profiles,-7660,Monotonicity Violation,Unreviewed
Alabama,offender_profiles,-1387,Monotonicity Violation,Unreviewed
Alabama,forensic_profiles,-178,Monotonicity Violation,Unreviewed
Alabama,total_profiles,-1565,Monotonicity Violation,Unreviewed
Alabama,total_profiles,1120,Spike Detection,Unreviewed
Alabama,offender_profiles,1058,Spike Detection,Unreviewed
Alabama,offender_profiles,-4154,Monotonicity Violation,Unreviewed
Alabama,forensic_profiles,-241,Monotonicity Violation,Unreviewed
Alabama,total_profiles,-4395,Monotonicity Violation,Unreviewed
Alabama,total_profiles,5393,Spike Detection,Unreviewed
Alabama,offender_profiles,5091,Spike Detection,Unreviewed
Alabama,offender_profiles,-5091,Monotonicity Violation,Unreviewed
Alabama,forensic_profiles,-302,Monotonicity Violation,Unreviewed
Alabama,total_profiles,-5393,Monotonicity Violation,Unreviewed
Alabama,offender_profiles,-15706,Monotonicity Violation,Unreviewed
Alabama,forensic_profiles,-1054,Monotonicity Violation,Unreviewed
Alabama,total_profiles,-16760,Monotonicity Violation,Unreviewed
Alabama,offender_profiles,-47,Monotonicity Violation,Unreviewed
Alabama,forensic_profiles,-6239,Monotonicity Violation,Unreviewed
Alabama,arrestee,-6243,Monotonicity Violation,Unreviewed
Alabama,forensic_profiles,-7951,Monotonicity Violation,Unreviewed
Alabama,offender_profiles,6829,Spike Detection,Unreviewed
Alabama,arrestee,571,Spike Detection,Unreviewed
Alabama,unknown,NA,Laboratory Jump,Unreviewed
Alabama,offender_profiles,-1482,Monotonicity Violation,Unreviewed
Alabama,arrestee,-5150,Monotonicity Violation,Unreviewed
Alabama,total_profiles,2286,Spike Detection,Unreviewed
Alabama,offender_profiles,1353,Spike Detection,Unreviewed
Alabama,offender_profiles,-199313,Monotonicity Violation,Unreviewed
Alabama,total_profiles,-198811,Monotonicity Violation,Unreviewed
Alaska,arrestee,-33,Monotonicity Violation,Unreviewed
Alaska,offender_profiles,-64,Monotonicity Violation,Unreviewed
Alaska,forensic_profiles,-50,Monotonicity Violation,Unreviewed
Alaska,total_profiles,-48,Monotonicity Violation,Unreviewed
Alaska,offender_profiles,-1527,Monotonicity Violation,Unreviewed
Alaska,forensic_profiles,-4,Monotonicity Violation,Unreviewed
Alaska,total_profiles,-1531,Monotonicity Violation,Unreviewed
Alaska,forensic_profiles,-48,Monotonicity Violation,Unreviewed
Alaska,total_profiles,1137,Spike Detection,Unreviewed
Alaska,offender_profiles,1185,Spike Detection,Unreviewed
Alaska,offender_profiles,-1185,Monotonicity Violation,Unreviewed
Alaska,total_profiles,-1137,Monotonicity Violation,Unreviewed
Alaska,forensic_profiles,-48,Monotonicity Violation,Unreviewed
Alaska,offender_profiles,-437,Monotonicity Violation,Unreviewed
Alaska,total_profiles,-426,Monotonicity Violation,Unreviewed
Alaska,offender_profiles,-45,Monotonicity Violation,Unreviewed
Alaska,forensic_profiles,-8,Monotonicity Violation,Unreviewed
Alaska,total_profiles,-53,Monotonicity Violation,Unreviewed
Alaska,offender_profiles,-11,Monotonicity Violation,Unreviewed
