timestamp,report_month,report_year,jurisdiction,offender_profiles,arrestee,forensic_profiles,ndis_labs,investigations_aided,parser_used,source_file,capture_date,capture_year
20010715040342,,,Pennsylvania,7099,0,883,3,68,pre2007,20010715040342_pa.html,2001-07-15 04:03:42,2001
20010715040408,,,North Carolina,21246,0,727,2,40,pre2007,20010715040408_nc.html,2001-07-15 04:04:08,2001
20010715040546,,,Connecticut,4193,0,138,1,19,pre2007,20010715040546_ct.html,2001-07-15 04:05:46,2001
20010715040559,,,West Virginia,0,0,0,1,0,pre2007,20010715040559_wv.html,2001-07-15 04:05:59,2001
20010715040600,,,Kansas,1023,0,200,4,0,pre2007,20010715040600_ks.html,2001-07-15 04:06:00,2001
20010715040622,,,North Dakota,270,0,0,1,0,pre2007,20010715040622_nd.html,2001-07-15 04:06:22,2001
20010715040647,,,Wyoming,4206,0,4,1,0,pre2007,20010715040647_wy.html,2001-07-15 04:06:47,2001
20010715040707,,,Kentucky,3232,0,346,1,23,pre2007,20010715040707_ky.html,2001-07-15 04:07:07,2001
20010715040816,,,Louisiana,0,0,0,2,0,pre2007,20010715040816_la.html,2001-07-15 04:08:16,2001
20010715040823,,,DC/FBI Lab,0,0,1087,1,9,pre2007,20010715040823_dc.html,2001-07-15 04:08:23,2001
20010715040905,,,Delaware,0,0,0,1,0,pre2007,20010715040905_de.html,2001-07-15 04:09:05,2001
20010715040923,,,Nebraska,1215,0,0,1,0,pre2007,20010715040923_ne.html,2001-07-15 04:09:23,2001
20010715041037,,,South Carolina,1658,0,186,1,3,pre2007,20010715041037_sc.html,2001-07-15 04:10:37,2001
20010715041123,,,Tennessee,0,0,0,3,2,pre2007,20010715041123_tn.html,2001-07-15 04:11:23,2001
20010715041154,,,Massachusetts,2097,0,131,2,0,pre2007,20010715041154_ma.html,2001-07-15 04:11:54,2001
20010715041209,,,Florida,79961,0,2741,11,463,pre2007,20010715041209_fl.html,2001-07-15 04:12:09,2001
20010715041224,,,New Hampshire,0,0,0,0,0,pre2007,20010715041224_nh.html,2001-07-15 04:12:24,2001
20010715041301,,,South Dakota,0,0,0,1,0,pre2007,20010715041301_sd.html,2001-07-15 04:13:01,2001
20010715041415,,,Maine,2997,0,237,1,14,pre2007,20010715041415_me.html,2001-07-15 04:14:15,2001
20010715041432,,,Hawaii,0,0,0,0,0,pre2007,20010715041432_hi.html,2001-07-15 04:14:32,2001
20010715041454,,,New Mexico,2899,0,41,3,3,pre2007,20010715041454_nm.html,2001-07-15 04:14:54,2001
20010715041559,,,Alabama,0,0,0,4,88,pre2007,20010715041559_al.html,2001-07-15 04:15:59,2001
20010715041613,,,Texas,44198,0,2028,15,121,pre2007,20010715041613_tx.html,2001-07-15 04:16:13,2001
20010715041643,,,Michigan,844,0,53,3,5,pre2007,20010715041643_mi.html,2001-07-15 04:16:43,2001
20010715041702,,,Utah,1462,0,77,1,1,pre2007,20010715041702_ut.html,2001-07-15 04:17:02,2001
20010715041726,,,Arkansas,9957,0,72,1,7,pre2007,20010715041726_ar.html,2001-07-15 04:17:26,2001
20010715041810,,,Arizona,8688,0,615,7,35,pre2007,20010715041810_az.html,2001-07-15 04:18:10,2001
20010715041846,,,Missouri,18001,0,1150,4,75,pre2007,20010715041846_mo.html,2001-07-15 04:18:46,2001
20010715041857,,,New York,39868,0,1568,7,67,pre2007,20010715041857_ny.html,2001-07-15 04:18:57,2001
20010715041914,,,Minnesota,9340,0,849,1,35,pre2007,20010715041914_mn.html,2001-07-15 04:19:14,2001
20010715041937,,,Vermont,123,0,0,1,0,pre2007,20010715041937_vt.html,2001-07-15 04:19:37,2001
20010715041955,,,Idaho,0,0,0,1,0,pre2007,20010715041955_id.html,2001-07-15 04:19:55,2001
20010715042040,,,Ohio,24130,0,342,7,2,pre2007,20010715042040_oh.html,2001-07-15 04:20:40,2001
20010715042152,,,Oklahoma,0,0,0,1,0,pre2007,20010715042152_ok.html,2001-07-15 04:21:52,2001
20010715042317,,,Oregon,16727,0,563,1,41,pre2007,20010715042317_or.html,2001-07-15 04:23:17,2001
20010715042336,,,California,15665,0,272,8,52,pre2007,20010715042336_ca.html,2001-07-15 04:23:36,2001
20010715042353,,,Illinois,20555,0,2110,8,241,pre2007,20010715042353_il.html,2001-07-15 04:23:53,2001
20010715042401,,,Wisconsin,24908,0,541,2,45,pre2007,20010715042401_wi.html,2001-07-15 04:24:01,2001
20010715042422,,,Mississippi,0,0,0,1,0,pre2007,20010715042422_ms.html,2001-07-15 04:24:22,2001
20010715042426,,,Washington,24936,0,58,3,7,pre2007,20010715042426_wa.html,2001-07-15 04:24:26,2001
20010715042431,,,Montana,0,0,0,1,0,pre2007,20010715042431_mt.html,2001-07-15 04:24:31,2001
20010715042509,,,Indiana,14514,0,39,2,0,pre2007,20010715042509_in.html,2001-07-15 04:25:09,2001
20010715042514,,,Colorado,6077,0,45,3,13,pre2007,20010715042514_co.html,2001-07-15 04:25:14,2001
20010822050651,,,Pennsylvania,9889,0,921,3,70,pre2007,20010822050651_pa.html,2001-08-22 05:06:51,2001
20010822050659,,,South Carolina,1658,0,198,1,3,pre2007,20010822050659_sc.html,2001-08-22 05:06:59,2001
20010822051018,,,South Dakota,0,0,0,1,0,pre2007,20010822051018_sd.html,2001-08-22 05:10:18,2001
20010822052213,,,Tennessee,0,0,0,3,2,pre2007,20010822052213_tn.html,2001-08-22 05:22:13,2001
20010822052615,,,Utah,2526,0,77,1,1,pre2007,20010822052615_ut.html,2001-08-22 05:26:15,2001
20010822053208,,,Virginia,42815,0,348,4,420,pre2007,20010822053208_va.html,2001-08-22 05:32:08,2001
20010822053359,,,Washington,28983,0,72,3,8,pre2007,20010822053359_wa.html,2001-08-22 05:33:59,2001
20010822054035,,,West Virginia,0,0,0,1,0,pre2007,20010822054035_wv.html,2001-08-22 05:40:35,2001
20010822054348,,,Wisconsin,27584,0,574,2,50,pre2007,20010822054348_wi.html,2001-08-22 05:43:48,2001
20010822054708,,,Vermont,207,0,1,1,0,pre2007,20010822054708_vt.html,2001-08-22 05:47:08,2001
20010822055306,,,Wyoming,4206,0,4,1,0,pre2007,20010822055306_wy.html,2001-08-22 05:53:06,2001
20010822111039,,,Alaska,792,0,21,1,1,pre2007,20010822111039_ak.html,2001-08-22 11:10:39,2001
20010822114053,,,Arkansas,10211,0,75,1,7,pre2007,20010822114053_ar.html,2001-08-22 11:40:53,2001
20010822114923,,,Arizona,8728,0,664,7,40,pre2007,20010822114923_az.html,2001-08-22 11:49:23,2001
20010822115409,,,California,15665,0,272,8,52,pre2007,20010822115409_ca.html,2001-08-22 11:54:09,2001
20010822115531,,,Alabama,0,0,0,4,88,pre2007,20010822115531_al.html,2001-08-22 11:55:31,2001
20010822115853,,,U.S. Army,0,0,562,1,4,pre2007,20010822115853_army.html,2001-08-22 11:58:53,2001
20010822120514,,,Connecticut,4354,0,167,1,25,pre2007,20010822120514_ct.html,2001-08-22 12:05:14,2001
20010822121233,,,DC/FBI Lab,0,0,1124,1,9,pre2007,20010822121233_dc.html,2001-08-22 12:12:33,2001
20010822121357,,,Colorado,6829,0,48,3,15,pre2007,20010822121357_co.html,2001-08-22 12:13:57,2001
20010822123138,,,Florida,83493,0,2840,11,463,pre2007,20010822123138_fl.html,2001-08-22 12:31:38,2001
20010822123534,,,Hawaii,0,0,0,0,0,pre2007,20010822123534_hi.html,2001-08-22 12:35:34,2001
20010822124010,,,Georgia,15744,0,1929,2,146,pre2007,20010822124010_ga.html,2001-08-22 12:40:10,2001
20010822124652,,,Indiana,15802,0,84,2,0,pre2007,20010822124652_in.html,2001-08-22 12:46:52,2001
20010822125137,,,Idaho,0,0,0,1,0,pre2007,20010822125137_id.html,2001-08-22 12:51:37,2001
20010822125241,,,Illinois,21416,0,2368,8,296,pre2007,20010822125241_il.html,2001-08-22 12:52:41,2001
20010822132511,,,Kentucky,3233,0,351,1,24,pre2007,20010822132511_ky.html,2001-08-22 13:25:11,2001
20010822132734,,,Louisiana,0,0,0,2,0,pre2007,20010822132734_la.html,2001-08-22 13:27:34,2001
20010822134537,,,Minnesota,9789,0,855,1,35,pre2007,20010822134537_mn.html,2001-08-22 13:45:37,2001
20010822134727,,,Maryland,1963,0,297,1,6,pre2007,20010822134727_md.html,2001-08-22 13:47:27,2001
20010822134749,,,Michigan,2036,0,81,3,16,pre2007,20010822134749_mi.html,2001-08-22 13:47:49,2001
20010822134750,,,Maine,2997,0,237,1,14,pre2007,20010822134750_me.html,2001-08-22 13:47:50,2001
20010822135520,,,Montana,0,0,0,1,0,pre2007,20010822135520_mt.html,2001-08-22 13:55:20,2001
20010822140001,,,North Carolina,23587,0,753,2,40,pre2007,20010822140001_nc.html,2001-08-22 14:00:01,2001
20010822141739,,,New Hampshire,0,0,0,0,0,pre2007,20010822141739_nh.html,2001-08-22 14:17:39,2001
20010822142157,,,Nebraska,1215,0,0,1,0,pre2007,20010822142157_ne.html,2001-08-22 14:21:57,2001
20010822142931,,,New Jersey,4911,0,271,1,6,pre2007,20010822142931_nj.html,2001-08-22 14:29:31,2001
20010822143536,,,New Mexico,2899,0,41,3,3,pre2007,20010822143536_nm.html,2001-08-22 14:35:36,2001
20010822145006,,,Nevada,2367,0,87,2,7,pre2007,20010822145006_nv.html,2001-08-22 14:50:06,2001
20010822145723,,,Ohio,25925,0,367,7,19,pre2007,20010822145723_oh.html,2001-08-22 14:57:23,2001
20010913001753,,,Alaska,792,0,21,1,1,pre2007,20010913001753_ak.html,2001-09-13 00:17:53,2001
20010913001754,,,Alabama,0,0,0,4,88,pre2007,20010913001754_al.html,2001-09-13 00:17:54,2001
20010913001755,,,Arizona,8728,0,664,7,40,pre2007,20010913001755_az.html,2001-09-13 00:17:55,2001
20010913001756,,,Connecticut,4354,0,167,1,25,pre2007,20010913001756_ct.html,2001-09-13 00:17:56,2001
20010913001756,,,Delaware,0,0,0,1,0,pre2007,20010913001756_de.html,2001-09-13 00:17:56,2001
20010913001757,,,Georgia,15744,0,1929,2,146,pre2007,20010913001757_ga.html,2001-09-13 00:17:57,2001
20010913001758,,,Idaho,0,0,0,1,0,pre2007,20010913001758_id.html,2001-09-13 00:17:58,2001
20010913001759,,,Indiana,15802,0,84,2,0,pre2007,20010913001759_in.html,2001-09-13 00:17:59,2001
20010913001759,,,Kansas,1777,0,204,4,0,pre2007,20010913001759_ks.html,2001-09-13 00:17:59,2001
20010913001800,,,Louisiana,0,0,0,2,0,pre2007,20010913001800_la.html,2001-09-13 00:18:00,2001
20010913001801,,,Maine,2997,0,237,1,14,pre2007,20010913001801_me.html,2001-09-13 00:18:01,2001
20010913001801,,,Maryland,1963,0,297,1,6,pre2007,20010913001801_md.html,2001-09-13 00:18:01,2001
20010913001801,,,Massachusetts,3028,0,246,1,14,pre2007,20010913001801_ma.html,2001-09-13 00:18:01,2001
20010913001802,,,Michigan,2036,0,81,3,16,pre2007,20010913001802_mi.html,2001-09-13 00:18:02,2001
20010913001802,,,Minnesota,9789,0,855,1,35,pre2007,20010913001802_mn.html,2001-09-13 00:18:02,2001
20010913001802,,,Missouri,18600,0,1272,4,85,pre2007,20010913001802_mo.html,2001-09-13 00:18:02,2001
20010913001803,,,Mississippi,0,0,0,1,0,pre2007,20010913001803_ms.html,2001-09-13 00:18:03,2001
20010913001804,,,Nebraska,1215,0,0,1,0,pre2007,20010913001804_ne.html,2001-09-13 00:18:04,2001
20010913001804,,,North Carolina,23587,0,753,2,40,pre2007,20010913001804_nc.html,2001-09-13 00:18:04,2001
20010913001804,,,North Dakota,270,0,0,1,0,pre2007,20010913001804_nd.html,2001-09-13 00:18:04,2001
20010913001805,,,New Hampshire,0,0,0,0,0,pre2007,20010913001805_nh.html,2001-09-13 00:18:05,2001
20010913001806,,,New Jersey,4911,0,271,1,6,pre2007,20010913001806_nj.html,2001-09-13 00:18:06,2001
20010913001806,,,New Mexico,2899,0,41,3,3,pre2007,20010913001806_nm.html,2001-09-13 00:18:06,2001
20010913001807,,,Nevada,2367,0,87,2,7,pre2007,20010913001807_nv.html,2001-09-13 00:18:07,2001
20010913001807,,,New York,45428,0,1810,7,109,pre2007,20010913001807_ny.html,2001-09-13 00:18:07,2001
20010913001808,,,Ohio,25925,0,367,7,19,pre2007,20010913001808_oh.html,2001-09-13 00:18:08,2001
