state,n_total_estimated,n_total_reported,n_total_estimated_comment,total_method,n_arrestees,n_offenders,n_forensic,arrestee_collection,fam_search,collection_statute
Alabama,360000,360000,Total only reported (no breakdown available),Unknown,NA,NA,NA,yes,unspecified,Ala. Code Sec.36-18-25
Alaska,79146,79146,Used reported total (matches offenders + arrestees),Offenders + Arrestees,52149,26997,3866,yes,unspecified,AK Stat Sec.44.41.035 (2014)
Arizona,NA,NA,,Unknown,NA,NA,NA,yes,unspecified,AZ Rev Stat Sec.13-610 (2016)
Arkansas,12221,12221,Total only reported (no breakdown available),Unknown,NA,NA,NA,yes,permitted,AR Code Sec.12-12-1109 & Sec.12-12-1006
California,3365402,3365402,Total only reported (forensic reported separately),Unknown,NA,NA,167053,yes,permitted,CA Penal Code Sec.296
Colorado,499170,499170,Total only reported (no breakdown available),Unknown,NA,NA,NA,yes,permitted,CO Rev Stat Sec.16-23-103 (2016)
Connecticut,135006,135006,Used reported total (matches offenders only),Offenders only,NA,135006,23200,yes,unspecified,CT Gen Stat Sec.54-102g (2012)
Delaware,NA,NA,,Unknown,0,NA,NA,no,unspecified,29 DE Code Sec.4713 (2017)
Florida,1799228,1799228,Total only reported (no breakdown available),Unknown,NA,NA,NA,yes,permitted,FL Stat Sec.943.325 (2016)
Georgia,347145,347145,Total with discrepancy (calculation unclear),Unknown,NA,324864,22281,yes,unspecified,GA Code Sec.35-3-160 (2014)
Hawaii,NA,NA,,Unknown,0,NA,NA,no,unspecified,"HI Rev Stat Sec.844D-31, 39 (2011)"
Idaho,39000,39000,Used reported total (matches offenders only),Offenders only,0,39000,NA,no,unspecified,ID Code Sec.19-5506 (2016)
Illinois,689297,689297,Used reported total (matches offenders only),Offenders only,NA,689297,69927,yes,unspecified,730 ILCS Sec.5/5-4-3 (2013)
Indiana,479000,479000,Used reported total (matches offenders + arrestees),Offenders + Arrestees,169000,310000,23700,yes,unspecified,IN Code Sec.10-13-6-10 (2017)
