state,n_total,n_arrestees,n_offenders,n_forensic,arrestee_collection,collection_statute,fam_search,database_source,database_source_year
Alabama,360000,,,,yes,Ala. Code Sec.36-18-25,unspecified,https://adfs.alabama.gov/services/fb/fb-statistics,2024
Alaska,79146,52149,26997,3866,yes,AK Stat Sec.44.41.035 (2014),unspecified,https://dps.alaska.gov/Statewide/CrimeLab/Forensic-Biology/DNA,2024
Arizona,,,,,yes,AZ Rev Stat Sec.13-610 (2016),unspecified,,
Arkansas,12221,,,,yes,AR Code Sec.12-12-1109 & Sec.12-12-1006,permitted,https://www.dps.arkansas.gov/wp-content/uploads/2022-ASCL-Annual-Report.pdf,2022
California,3365402,,,167053,yes,CA Penal Code Sec.296,permitted,https://oag.ca.gov/system/files/media/databank-quarterly-rpt-2024-q1.pdf,2024
Colorado,499170,,,,yes,CO Rev Stat Sec.16-23-103 (2016),permitted,https://spl.cde.state.co.us/artemis/psserials/ps51internet/ps512019internet.pdf,2019
Connecticut,135006,,135006,23200,yes,CT Gen Stat Sec.54-102g (2012),unspecified,https://portal.ct.gov/dcj/latest-news/csa-dcj-advisory-dna-panel-standardization-commission-minutes-2023/dna-data-bank-oversight-panel-minutes-december-20-2023?language=en_US,2023
Delaware,,N/A,,,no,29 DE Code Sec.4713 (2017),unspecified,https://forensics.delaware.gov/resources/contentFolder/pdfs/2023%20DFS%20Annual%20Report.pdf?cache=1719431746750; https://forensics.delaware.gov/sections/index.shtml?dc=DNAUnit,2023
Florida,1799228,,,,yes,FL Stat Sec.943.325 (2016),permitted,https://www.fdle.state.fl.us/Forensics/Disciplines/DNA-Database,2025
Georgia,347145,,324864,22281,yes,GA Code Sec.35-3-160 (2014),unspecified,"GBI Crime Lab: CODIS Records 6,000th State Offender DNA Match | Georgia Bureau of Investigation",2017
Hawaii,,N/A,,,no,"HI Rev Stat Sec.844D-31, 39 (2011)",unspecified,,
Idaho,39000,N/A,39000,,no,ID Code Sec.19-5506 (2016),unspecified,https://isp.idaho.gov/forensics/dna-database/,2017
Illinois,689297,,689297,69927,yes,730 ILCS Sec.5/5-4-3 (2013),unspecified,https://isp.illinois.gov/StaticFiles/docs/ForensicServices/Reports/2023dnareport.pdf,2023
Indiana,479000,169000,310000,23700,yes,IN Code Sec.10-13-6-10 (2017),unspecified,https://www.in.gov/isp/labs/biology-and-combined-dna-index-system-codis/,2025
Iowa,,N/A,,,no,IA Code Sec.81.2 (2016),unspecified,https://publications.iowa.gov/37872/1/FY2020%20Annual%20ReportSJ.pdf https://publications.iowa.gov/44533/1/FY2021%20Annual%20Report%20FINAL-Reduced%20File%20Size.pdf https://publications.iowa.gov/44465/1/2022AnnualReport-FINAL.pdf,2022
Kansas,,N/A,,,yes,KS Stat Sec.21-2511 (2013),unspecified,,2025
Kentucky,,0,,,no,KY Rev Stat Sec.17.170 (1996),unspecified,,
Louisiana,699618,,,,yes,LA Rev Stat Sec.15:609 (2011),unspecified,https://www.researchgate.net/publication/359750254_Expanding_DNA_database_effectiveness,2022
Maine,,N/A,,,no,25 ME Rev Stat Sec.1574 (2017),unspecified,,2025
Maryland,"194,803",5525,142278,,yes,MD Public Safety Code Sec.2-504 (2009),prohibited,https://mdsp.maryland.gov/Organization/Documents/2022%20Annual%20DNA%20Database%20Report.pdf,2022
Massachusetts,,N/A,,,no,MA Code ch.22E Sec.3 (2006),unspecified,,
Michigan,,,,,yes,Mich. Comp. Laws Sec.750.250m (2006),permitted,https://www.michigan.gov/msp/divisions/bid,
Minnesota,180000,,180000,,yes,MN Stat Sec.299C.105 (2016),unspecified,https://dps.mn.gov/divisions/bca/bca-divisions/forensic-science/Pages/dna-codis.aspx,2021
Mississippi,118000,,,,yes,MS Code Sec.47-5-183 (2013),unspecified,https://www.dps.ms.gov/sites/dps/files/documents/DPS-FY2017-Annual-Report.pdf,2017
Missouri,400000,,386000,,yes,MO Rev Stat Sec.650.055 (2011),unspecified,https://www.mshp.dps.missouri.gov/MSHPWeb/PatrolDivisions/CLD/,2020
Montana,32284,N/A,32284,878,no,MT Code Sec.44-6-103 (2017),permitted,https://leg.mt.gov/content/Committees/Interim/2015-2016/Law-and-Justice/Meetings/Apr-2016/Exhibits/MrPasternakPresentation.pdf,2016
Nebraska,,N/A,,,no,NE Code Sec.29-4106 (2017),unspecified,,
Nevada,245000,,,,yes,NV Rev Stat Sec.176.09123 (2013),unspecified,https://www.lvmpd.com/about/bureaus/forensic-laboratory/biology-dna,2024
New Hampshire,,N/A,,,no,NH Rev Stat Sec.651-C:2 (2015),unspecified,,
New Jersey,346099,,,,yes,NJ Rev Stat Sec.53:1-20.20 (2016),unspecified,https://nj.gov/njsp/about/pdf/2023_njsp_AnnualReport.pdf,2023
New Mexico,,,,,yes,NM Stat Sec.29-16-6 (1996); Sec.29-3-10 (2016),unspecified,https://www.dps.nm.gov/forensic-lab/,
New York,,N/A,,,no,NY Exec L Sec.995-C (2014),permitted,https://www.criminaljustice.ny.gov/forensic/dnadatabank.htm,
North Carolina,380000,50000,300000,,yes,NC Gen Stat Sec.15A-266.4 (2013),unspecified,https://ncdoj.gov/crime-lab/dna-database/,2025
North Dakota,,,,,yes,ND Century Code Sec.31-13-03 (2013),unspecified,https://attorneygeneral.nd.gov/criminal-justice-resources/crime-laboratory-general-information/,
Ohio,,,,,yes,Ohio Rev Code Sec.2901.07 (2015),unspecified,https://www.ohioattorneygeneral.gov/Law-Enforcement/Bureau-of-Criminal-Investigation/Laboratory-Division/CODIS-Unit,
Oklahoma,,,,,yes,OK Stat Sec.74-150.27a (2015),unspecified,,
Oregon,,N/A,,,no,OR Rev Stat Sec.137.076 (2011),unspecified,,
Pennsylvania,,N/A,,,no,44 PA Cons Stat Sec.2316 (2017),unspecified,,
Rhode Island,27818,484,27334,1798,yes,RI Gen L Sec.12-1.5-8 (2014),unspecified,https://health.ri.gov/programs/detail.php?pgm_id=1096,2024
South Carolina,175629,,175629,11127,yes,SC Code Sec.23-3-620 (2012),unspecified,https://dc.statelibrary.sc.gov/bitstreams/0e04a987-c9a7-433d-938d-d77d19a90460/download,2013
South Dakota,94000,,,,yes,SD Codified L Sec.23-5A-6; Sec.23-5A-5.2 (2013),unspecified,https://atg.sd.gov/LawEnforcement/Forensics/codis.aspx#gsc.tab=0,2025
Tennessee,518614,226569,292045,,yes,TN Code Sec.40-35-321 (2010),unspecified,https://www.tn.gov/content/dam/tn/tbi/documents/Annual%20report%202021-2022%20final%20secured.pdf,2022
Texas,1342285,,1342285,,yes,TX Gov’t Code Sec.411.1471,permitted,https://txdpslabs.qualtraxcloud.com/ShowDocument.aspx?ID=56262,2025
Utah,,,,,yes,UT Code Sec.53-10-404 (2006),permitted,,2024
Vermont,,N/A,,,no,20 V.S.A. Sec.1932 (2017),unspecified,,
Virginia,523069,,,,yes,VA Code Sec.19.2-310.2 (2006),permitted,https://dfs.virginia.gov/laboratory-forensic-services/dna-databank/data-bank-statistics/dna-databank-statistics/,2025
Washington,272000,N/A,272000,8800,no,WA Rev Code Sec.43.43.754 (2005),unspecified,https://www.wsp.wa.gov/forensics/docs/crimelab/conv_off_dna_ppt.pdf,2017
West Virginia,51349,N/A,47444,3905,no,WV Code Sec.15-2B-6 (2012),unspecified,https://www.wvsp.gov/departments/laboratory/Documents/WV%20CODIS%20Brochure%202.1.24.pdf,2025
Wisconsin,358611,23717,334894,24756,yes,WI Code Sec.973.047 (2011),permitted,https://docs.legis.wisconsin.gov/misc/lfb/budget/2023_25_biennial_budget/bpbd/107_june_8/116_justice_forensic_science,2023
Wyoming,,N/A,,,no,WY Stat Sec.7-19-403 (1997),permitted,,
