state,offender_type,variable_category,variable_detailed,value,value_type,value_source
California,Convicted Offender,total,total_profiles,2019899.0,count,reported
California,Arrestee,total,total_profiles,751822.0,count,reported
California,Convicted Offender,gender,Female,309827.0,count,reported
California,Convicted Offender,gender,Male,1603222.0,count,reported
California,Convicted Offender,gender,Unknown,106850.0,count,reported
California,Arrestee,gender,Female,208225.0,count,reported
California,Arrestee,gender,Male,524231.0,count,reported
California,Arrestee,gender,Unknown,19366.0,count,reported
California,Convicted Offender,race,African American,368952.0,count,reported
California,Convicted Offender,race,Caucasian,588555.0,count,reported
California,Convicted Offender,race,Hispanic,652121.0,count,reported
California,Convicted Offender,race,Asian,16384.0,count,reported
California,Arrestee,race,African American,104741.0,count,reported
California,Arrestee,race,Caucasian,231313.0,count,reported
California,Arrestee,race,Hispanic,308450.0,count,reported
California,Arrestee,race,Asian,11191.0,count,reported
California,Convicted Offender,race,Unknown,393887.0,count,calculated
California,Arrestee,race,Unknown,96127.0,count,calculated
California,Combined,gender,Female,518052.0,count,calculated
California,Combined,gender,Male,2127453.0,count,calculated
California,Combined,gender,Unknown,126216.0,count,calculated
California,Combined,race,African American,473693.0,count,calculated
California,Combined,race,Asian,27575.0,count,calculated
California,Combined,race,Caucasian,819868.0,count,calculated
California,Combined,race,Hispanic,960571.0,count,calculated
California,Combined,race,Unknown,490014.0,count,calculated
California,Combined,total,total_profiles,2771721.0,count,calculated
California,Convicted Offender,gender,Female,15.34,percentage,calculated
California,Convicted Offender,gender,Male,79.37,percentage,calculated
California,Convicted Offender,gender,Unknown,5.29,percentage,calculated
California,Convicted Offender,race,African American,18.27,percentage,calculated
California,Convicted Offender,race,Caucasian,29.14,percentage,calculated
California,Convicted Offender,race,Hispanic,32.28,percentage,calculated
California,Convicted Offender,race,Asian,0.81,percentage,calculated
California,Convicted Offender,race,Unknown,19.5,percentage,calculated
California,Arrestee,gender,Female,27.7,percentage,calculated
California,Arrestee,gender,Male,69.73,percentage,calculated
California,Arrestee,gender,Unknown,2.58,percentage,calculated
California,Arrestee,race,African American,13.93,percentage,calculated
California,Arrestee,race,Caucasian,30.77,percentage,calculated
California,Arrestee,race,Hispanic,41.03,percentage,calculated
California,Arrestee,race,Asian,1.49,percentage,calculated
California,Arrestee,race,Unknown,12.79,percentage,calculated
California,Combined,gender,Female,18.69,percentage,calculated
California,Combined,gender,Male,76.76,percentage,calculated
California,Combined,gender,Unknown,4.55,percentage,calculated
California,Combined,race,African American,17.09,percentage,calculated
California,Combined,race,Asian,0.99,percentage,calculated
California,Combined,race,Caucasian,29.58,percentage,calculated
California,Combined,race,Hispanic,34.66,percentage,calculated
California,Combined,race,Unknown,17.68,percentage,calculated
Florida,Combined,total,total_profiles,1175391.0,count,reported
Florida,Combined,total,total_profiles,100.0,percentage,reported
Florida,Combined,gender,Female,260885.0,count,reported
Florida,Combined,gender,Female,22.2,percentage,reported
Florida,Combined,gender,Male,901126.0,count,reported
Florida,Combined,gender,Male,76.67,percentage,reported
Florida,Combined,gender,Unknown,13380.0,count,reported
Florida,Combined,gender,Unknown,1.14,percentage,reported
Florida,Combined,race,African American,413733.0,count,reported
Florida,Combined,race,African American,35.2,percentage,reported
Florida,Combined,race,Asian,2659.0,count,reported
Florida,Combined,race,Asian,0.23,percentage,reported
Florida,Combined,race,Caucasian,721485.0,count,reported
Florida,Combined,race,Caucasian,61.38,percentage,reported
Florida,Combined,race,Hispanic,28452.0,count,reported
Florida,Combined,race,Hispanic,2.42,percentage,reported
Florida,Combined,race,Native American,667.0,count,reported
Florida,Combined,race,Native American,0.06,percentage,reported
Florida,Combined,race,Other,1176.0,count,reported
Florida,Combined,race,Other,0.1,percentage,reported
Florida,Combined,race,Unknown,7219.0,count,reported
Florida,Combined,race,Unknown,0.61,percentage,reported
Indiana,Convicted Offender,total,total_profiles,279654.0,count,reported
Indiana,Arrestee,total,total_profiles,21087.0,count,reported
Indiana,Combined,gender,Female,20.0,percentage,reported
Indiana,Combined,gender,Male,80.0,percentage,reported
Indiana,Combined,race,Caucasian,70.0,percentage,reported
Indiana,Combined,race,Black,26.0,percentage,reported
Indiana,Combined,race,Hispanic,4.0,percentage,reported
Indiana,Combined,race,Other,0.5,percentage,reported
Indiana,Combined,total,total_profiles,300741.0,count,calculated
Indiana,Combined,gender,Female,60148.0,count,calculated
Indiana,Combined,gender,Male,240593.0,count,calculated
Indiana,Combined,race,Caucasian,210519.0,count,calculated
Indiana,Combined,race,Black,78193.0,count,calculated
