state,offender_type,variable_category,variable_detailed,value,value_type,date
Florida,Combined,total,total_profiles,1175391,count,
Florida,Combined,total,total_profiles,100,percentage,
Florida,Combined,gender,Female,260885,count,
Florida,Combined,gender,Female,22.2,percentage,
Florida,Combined,gender,Male,901126,count,
Florida,Combined,gender,Male,76.67,percentage,
Florida,Combined,gender,Unknown,13380,count,
Florida,Combined,gender,Unknown,1.14,percentage,
Florida,Combined,race,African American,413733,count,
Florida,Combined,race,African American,35.2,percentage,
Florida,Combined,race,Asian,2659,count,
Florida,Combined,race,Asian,0.23,percentage,
Florida,Combined,race,Caucasian,721485,count,
Florida,Combined,race,Caucasian,61.38,percentage,
Florida,Combined,race,Hispanic,28452,count,
Florida,Combined,race,Hispanic,2.42,percentage,
Florida,Combined,race,Native American,667,count,
Florida,Combined,race,Native American,0.06,percentage,
Florida,Combined,race,Other,1176,count,
Florida,Combined,race,Other,0.1,percentage,
Florida,Combined,race,Unknown,7219,count,
Florida,Combined,race,Unknown,0.61,percentage,
